Local time,Open,High,Low,Close,Volume
04.05.2020 00:00:00.000 GMT+0300,133.358,133.442,132.513,132.764,195942.3392
05.05.2020 00:00:00.000 GMT+0300,132.792,133.176,132.441,132.460,183126.04929999998
06.05.2020 00:00:00.000 GMT+0300,132.386,132.662,130.830,130.923,199313.36059999999
07.05.2020 00:00:00.000 GMT+0300,130.931,132.019,130.655,131.343,197222.02980000002
08.05.2020 00:00:00.000 GMT+0300,131.212,132.680,131.199,132.292,153871.52929999997
09.05.2020 00:00:00.000 GMT+0300,132.292,132.292,132.292,132.292,0
10.05.2020 00:00:00.000 GMT+0300,132.292,132.292,132.292,132.292,0
11.05.2020 00:00:00.000 GMT+0300,132.081,133.187,131.876,132.772,197345.2813
12.05.2020 00:00:00.000 GMT+0300,132.767,132.864,131.306,131.318,193952.67959999997
13.05.2020 00:00:00.000 GMT+0300,131.318,131.933,130.645,130.889,223122.8681
14.05.2020 00:00:00.000 GMT+0300,130.889,131.302,130.136,131.122,209980.6478
15.05.2020 00:00:00.000 GMT+0300,131.124,131.416,129.523,129.610,200965.0706
16.05.2020 00:00:00.000 GMT+0300,129.610,129.610,129.610,129.610,0
17.05.2020 00:00:00.000 GMT+0300,129.610,129.610,129.610,129.610,0
18.05.2020 00:00:00.000 GMT+0300,129.391,131.275,129.295,130.873,185425.55010000002
19.05.2020 00:00:00.000 GMT+0300,130.871,132.504,130.739,131.951,191987.9281
20.05.2020 00:00:00.000 GMT+0300,131.957,132.419,131.434,131.576,170688.2501
21.05.2020 00:00:00.000 GMT+0300,131.532,131.949,131.217,131.488,169854.58829999997
22.05.2020 00:00:00.000 GMT+0300,131.488,131.772,130.671,130.920,144602.53
23.05.2020 00:00:00.000 GMT+0300,130.920,130.920,130.920,130.920,0
24.05.2020 00:00:00.000 GMT+0300,130.920,130.920,130.920,130.920,0
25.05.2020 00:00:00.000 GMT+0300,130.942,131.404,130.876,131.198,117408.38960000001
26.05.2020 00:00:00.000 GMT+0300,131.257,133.036,131.172,132.620,174937.5208
27.05.2020 00:00:00.000 GMT+0300,132.620,132.999,131.627,132.058,227707.0907
28.05.2020 00:00:00.000 GMT+0300,132.065,132.879,131.822,132.584,203415.2072
29.05.2020 00:00:00.000 GMT+0300,132.587,133.459,131.773,133.084,260726.23030000002
30.05.2020 00:00:00.000 GMT+0300,133.084,133.084,133.084,133.084,0
31.05.2020 00:00:00.000 GMT+0300,133.084,133.084,133.084,133.084,0
01.06.2020 00:00:00.000 GMT+0300,132.702,134.531,132.702,134.374,192069.3407
02.06.2020 00:00:00.000 GMT+0300,134.383,136.516,134.213,136.385,201387.03019999998
03.06.2020 00:00:00.000 GMT+0300,136.385,137.386,136.249,136.929,225164.30760000003
04.06.2020 00:00:00.000 GMT+0300,136.874,137.806,135.949,137.483,229237.73020000002
05.06.2020 00:00:00.000 GMT+0300,137.458,139.733,137.268,138.791,237995.1009
06.06.2020 00:00:00.000 GMT+0300,138.791,138.791,138.791,138.791,0
07.06.2020 00:00:00.000 GMT+0300,138.791,138.791,138.791,138.791,0
08.06.2020 00:00:00.000 GMT+0300,138.924,139.576,137.417,137.948,183715.3498
09.06.2020 00:00:00.000 GMT+0300,137.952,138.239,136.231,137.137,202724.10809999998
10.06.2020 00:00:00.000 GMT+0300,137.161,137.414,136.466,136.545,251232.2175
11.06.2020 00:00:00.000 GMT+0300,136.545,136.584,134.460,134.652,305185.25830000004
12.06.2020 00:00:00.000 GMT+0300,134.643,136.040,133.790,134.646,305752.3069
13.06.2020 00:00:00.000 GMT+0300,134.646,134.646,134.646,134.646,0
14.06.2020 00:00:00.000 GMT+0300,134.646,134.646,134.646,134.646,0
15.06.2020 00:00:00.000 GMT+0300,134.285,135.313,133.498,135.295,280617.12899999996
16.06.2020 00:00:00.000 GMT+0300,135.285,136.347,134.722,134.909,277261.0996
17.06.2020 00:00:00.000 GMT+0300,134.910,135.220,134.057,134.335,209597.2309
18.06.2020 00:00:00.000 GMT+0300,134.328,134.519,132.389,132.903,220793.72130000006
19.06.2020 00:00:00.000 GMT+0300,132.883,133.246,131.919,131.945,185612.96930000003
20.06.2020 00:00:00.000 GMT+0300,131.945,131.945,131.945,131.945,0
21.06.2020 00:00:00.000 GMT+0300,131.945,131.945,131.945,131.945,0
22.06.2020 00:00:00.000 GMT+0300,131.854,133.414,131.656,133.287,166369.80039999998
23.06.2020 00:00:00.000 GMT+0300,133.281,133.984,132.597,133.345,211366.78960000002
24.06.2020 00:00:00.000 GMT+0300,133.333,133.609,132.676,132.925,217263.9421
25.06.2020 00:00:00.000 GMT+0300,132.905,133.609,132.786,133.107,193883.2305
26.06.2020 00:00:00.000 GMT+0300,133.084,133.260,132.037,132.235,165089.1799
27.06.2020 00:00:00.000 GMT+0300,132.235,132.235,132.235,132.235,0
28.06.2020 00:00:00.000 GMT+0300,132.235,132.235,132.235,132.235,0
29.06.2020 00:00:00.000 GMT+0300,132.073,132.686,131.950,132.288,160815.51039999997
30.06.2020 00:00:00.000 GMT+0300,132.281,133.884,132.015,133.816,166388.2015
01.07.2020 00:00:00.000 GMT+0300,133.803,134.218,132.943,134.056,155401.9177
02.07.2020 00:00:00.000 GMT+0300,134.050,134.700,133.780,134.017,149913.7688
03.07.2020 00:00:00.000 GMT+0300,133.964,134.210,133.696,134.172,120686.65040000003
04.07.2020 00:00:00.000 GMT+0300,134.172,134.172,134.172,134.172,0
05.07.2020 00:00:00.000 GMT+0300,134.172,134.172,134.172,134.172,0
06.07.2020 00:00:00.000 GMT+0300,134.010,134.670,133.988,134.091,134945.64060000004
07.07.2020 00:00:00.000 GMT+0300,134.091,135.410,134.000,134.827,149804.3599
08.07.2020 00:00:00.000 GMT+0300,134.776,135.422,134.575,135.238,144152.9907
